column,dtype,unit,source_or_derivation,role,description,missing_count,notes
STATION,string,không,NOAA GSOD,metadata,Mã định danh trạm NOAA cho dòng trạm-ngày,0,Loại khỏi feature model vì là metadata
time,date,YYYY-MM-DD,Căn chỉnh NOAA GSOD và ERA5,metadata,Ngày lịch của bản ghi trạm-ngày,0,Loại khỏi feature model vì là metadata
LATITUDE,float64,độ,NOAA GSOD,metadata,Vĩ độ trạm,0,Dùng để mô tả địa lý trạm
LONGITUDE,float64,độ,NOAA GSOD,metadata,Kinh độ trạm,0,Dùng để mô tả địa lý trạm
ELEVATION,float64,m,NOAA GSOD,metadata,Độ cao trạm so với mực nước biển trung bình,0,Dùng để mô tả địa hình trạm
TEMP,float64,degC,NOAA GSOD bù từ ERA5 t2m,feature,Nhiệt độ không khí gần bề mặt theo ngày,0,Giá trị GSOD được đổi từ Fahrenheit
PRCP,float64,mm,NOAA GSOD bù từ ERA5 tp,target,Lượng mưa hằng ngày,0,Không dùng làm input model
WDSP,float64,m/s,NOAA GSOD bù từ ERA5 u10/v10 khi có thể,feature,Tốc độ gió trung bình ngày,598,Giá trị thiếu còn lại được impute trong model pipeline
DEWP,float64,degC,NOAA GSOD bù từ ERA5 d2m,feature,Nhiệt độ điểm sương hằng ngày,0,Giá trị GSOD được đổi từ Fahrenheit
STP,float64,hPa,NOAA GSOD bù từ ERA5 sp,feature,Áp suất tại trạm theo ngày,0,Được kiểm tra khoảng hợp lý trong silver pipeline
SLP,float64,hPa,NOAA GSOD bù từ ERA5 msl,feature,Áp suất mực nước biển theo ngày,0,Được kiểm tra khoảng hợp lý trong silver pipeline
VISIB,float64,km,Nội suy theo trạm từ NOAA GSOD,feature,Tầm nhìn trung bình ngày,0,Nội suy trong cùng nhóm trạm hoặc grid
u10,float64,m/s,ERA5 single-level,feature,Thành phần gió Đông-Tây ở 10m trung bình ngày,0,Feature tái phân tích lịch sử cùng ngày
v10,float64,m/s,ERA5 single-level,feature,Thành phần gió Bắc-Nam ở 10m trung bình ngày,0,Feature tái phân tích lịch sử cùng ngày
z,float64,m,ERA5 single-level,feature,Độ cao địa thế bề mặt sau đổi từ geopotential,0,Dùng cho feature liên quan địa hình
lsm,float64,fraction,ERA5 single-level,feature,Tỷ lệ land-sea mask của grid,0,Mô tả loại bề mặt grid
z_500,float64,m,ERA5 pressure-level,feature,Độ cao địa thế tầng 500 hPa,0,Trung bình ngày
t_500,float64,degC,ERA5 pressure-level,feature,Nhiệt độ không khí tầng 500 hPa,0,Trung bình ngày sau đổi từ Kelvin
q_500,float64,kg/kg,ERA5 pressure-level,feature,Độ ẩm riêng tầng 500 hPa,0,Trung bình ngày
u_500,float64,m/s,ERA5 pressure-level,feature,Thành phần gió Đông-Tây tầng 500 hPa,0,Trung bình ngày
